Jurisdiction,Year,Case Count
Hawaii,1878,25
Hawaii,1954,24
Hawaii,1965,24
Hawaii,1942,23
Hawaii,1944,23
Hawaii,1947,23
Hawaii,1943,23
Hawaii,1873,22
Hawaii,1855,22
Hawaii,1871,22
Hawaii,1874,21
Hawaii,1956,21
Hawaii,1860,20
Hawaii,1951,18
Hawaii,1852,18
Hawaii,1869,17
Hawaii,1861,16
Hawaii,1946,16
Hawaii,1941,15
Hawaii,1854,14
Hawaii,1859,14
Hawaii,1858,13
Hawaii,1863,12
Hawaii,1851,12
Hawaii,1870,11
Hawaii,1867,10
Hawaii,1862,10
Hawaii,1857,8
Hawaii,1853,8
Hawaii,1848,7
Hawaii,1847,7
Hawaii,1865,6
Hawaii,1868,6
Hawaii,1866,3
Hawaii,1850,2
Hawaii,1864,2
Hawaii,1849,1
Illinois,1974,3107
Illinois,1975,3094
Illinois,1973,2740
Illinois,1980,2543
Illinois,1972,2419
Illinois,1979,2409
Illinois,1978,2361
Illinois,1977,2356
Illinois,1981,2314
Illinois,1992,2250
Illinois,1991,2247
Illinois,1989,2145
Illinois,1976,2120
Illinois,1993,2085
Illinois,1990,2070
Illinois,1987,2070
Illinois,1988,1985
Illinois,1986,1913
Illinois,1917,1776
Illinois,1983,1757
Illinois,1971,1746
Illinois,1985,1714
Illinois,1914,1702
Illinois,1994,1696
Illinois,1913,1679
Illinois,1982,1669
Illinois,1984,1668
Illinois,1916,1620
Illinois,1925,1617
Illinois,1912,1611
Illinois,1896,1546
Illinois,1915,1520
Illinois,1920,1468
Illinois,1923,1464
Illinois,1930,1464
Illinois,1908,1461
Illinois,1899,1459
Illinois,1931,1451
Illinois,1924,1447
Illinois,1927,1443
Illinois,1922,1442
Illinois,1928,1440
Illinois,1907,1435
Illinois,1898,1425
Illinois,1911,1420
Illinois,1901,1415
Illinois,1929,1409
Illinois,1926,1407
Illinois,1918,1404
Illinois,1897,1402
Illinois,1902,1394
Illinois,1921,1387
Illinois,1970,1387
Illinois,1934,1384
Illinois,1919,1378
Illinois,1935,1378
Illinois,1900,1375
Illinois,1895,1331
Illinois,1905,1325
Illinois,1903,1321
Illinois,1969,1316
Illinois,1906,1316
Illinois,1904,1275
Illinois,1968,1266
Illinois,1932,1265
Illinois,1910,1256
Illinois,1909,1246
Illinois,1933,1227
Illinois,1894,1203
Illinois,1967,1185
Illinois,1995,1171
Illinois,1966,1170
Illinois,1937,1150
Illinois,1996,1143
Illinois,2000,1115
Illinois,2002,1112
Illinois,2001,1083
Illinois,1998,1082
Illinois,2004,1076
Illinois,1936,1075
Illinois,1892,1060
Illinois,1997,1059
Illinois,1999,1056
Illinois,1889,1055
Illinois,1938,1030
Illinois,2003,1024
Illinois,2005,1020
Illinois,1890,1010
Illinois,1939,989
Illinois,1965,982
Illinois,2006,953
Illinois,1942,953
Illinois,1886,951
Illinois,1891,950
Illinois,1940,946
Illinois,1941,945
Illinois,1893,942
Illinois,2007,884
Illinois,1964,874
Illinois,2009,873
Illinois,1963,867
Illinois,1888,865
Illinois,1878,858
Illinois,1943,858
Illinois,2008,857
Illinois,1944,836
Illinois,2010,836
Illinois,1887,797
Illinois,2018,795
Illinois,1947,782
Illinois,1950,767
Illinois,1951,751
Illinois,1948,747
Illinois,1962,737
Illinois,1952,725
Illinois,1945,721
Illinois,1961,703
Illinois,1949,690
Illinois,1960,688
Illinois,1874,683
Illinois,1946,673
Illinois,1882,659
Illinois,1880,657
Illinois,1875,656
Illinois,1953,640
Illinois,1958,633
Illinois,1873,632
Illinois,1959,617
Illinois,1885,616
Illinois,1956,611
Illinois,1954,610
Illinois,1955,592
Illinois,1871,578
Illinois,1872,576
Illinois,1881,576
Illinois,1884,575
Illinois,1957,570
Illinois,1877,546
Illinois,1883,538
Illinois,1876,536
Illinois,1870,523
Illinois,1867,461
Illinois,1879,408
Illinois,1868,395
Illinois,1869,389
Illinois,1866,353
Illinois,1860,319
Illinois,2011,316
Illinois,1862,309
Illinois,1859,306
Illinois,1864,300
Illinois,2019,283
Illinois,1865,258
Illinois,2017,253
Illinois,1861,237
Illinois,1863,236
Illinois,1858,195
Illinois,1857,190
Illinois,1853,179
Illinois,1855,166
Illinois,1854,150
Illinois,1851,137
Illinois,1850,137
Illinois,1852,135
Illinois,1856,128
Illinois,1840,127
Illinois,1845,107
Illinois,1841,107
Illinois,1849,101
Illinois,1842,98
Illinois,1846,91
Illinois,1843,85
